线路名,起点,终点,运营日期,首班车时间,末班车时间,票价,折扣方式,具体站点信息
815路,仲宫,玉水村,发车时间,7:20,18:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
815路,玉水村,仲宫,发车时间,6:00,16:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
816路,仲宫,西老泉,发车时间,8:00,17:30,1元,济南公交刷卡、支付宝八折优惠,站点详情
816路,西老泉,仲宫,发车时间,6:00,16:30,1元,济南公交刷卡、支付宝八折优惠,站点详情
817路,仲宫,里石村,发车时间,7:10,17:10,1元,济南公交刷卡、支付宝八折优惠,站点详情
817路,里石村,仲宫,发车时间,6:00,16:00,1元,济南公交刷卡、支付宝八折优惠,站点详情
818路,仲宫,川道村,发车时间,11:40,17:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
818路,川道村,仲宫,发车时间,6:00,12:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
819路,仲宫,柴家村,发车时间,11:40,17:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
819路,柴家村,仲宫,发车时间,6:00,12:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
820路,仲宫,高而十八盘村,发车时间,11:40,17:20,2元,济南公交刷卡、支付宝八折优惠,站点详情
820路,高而十八盘村,仲宫,发车时间,7:00,12:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
821路,门牙驿站,青杨峪村,发车时间,17:45,17:45,1元,济南公交刷卡、支付宝八折优惠,站点详情
821路,青杨峪村,门牙驿站,发车时间,6:00,6:00,1元,济南公交刷卡、支付宝八折优惠,站点详情
822路,门牙驿站,西山村,发车时间,7:00,16:00,1元,济南公交刷卡、支付宝八折优惠,站点详情
822路,西山村,门牙驿站,发车时间,7:45,16:45,1元,济南公交刷卡、支付宝八折优惠,站点详情
823路,天井峪村,仲宫,发车时间,5:50,5:50,1元,济南公交刷卡、支付宝八折优惠,站点详情
823路,仲宫,天井峪村,发车时间,17:50,17:50,1元,济南公交刷卡、支付宝八折优惠,站点详情
826路,仲宫,北坡村,发车时间,7:40,18:00,1元,济南公交刷卡、支付宝八折优惠,站点详情
826路,北坡村,仲宫,发车时间,6:00,16:00,1元,济南公交刷卡、支付宝八折优惠,站点详情
K89路,大桥街道办事处,全福立交桥北,发车时间,5:30,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K89路,全福立交桥北,大桥街道办事处,发车时间,5:55,21:25,2元,济南公交刷卡、支付宝八折优惠,站点详情
K90路,解放军第九六〇医院西院,解放军第九六〇医院,发车时间,5:55,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K90路,解放军第九六〇医院,解放军第九六〇医院西院,发车时间,6:00,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K91路,匡山小区,十里河,发车时间,5:30,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K91路,十里河,匡山小区,发车时间,6:00,22:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K92路,赵家庄 ,七贤庄,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K92路,七贤庄,赵家庄,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K93路,还乡店,玉函小区南区,发车时间,6:00,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K93路,玉函小区南区,还乡店,发车时间,6:00,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K94路,葛家庄,九曲,发车时间,6:30,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K94路,九曲,葛家庄,发车时间,6:15,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
